Location,Routing,Routing - Copy,Location - Copy,
"Albacete, Spain",ABC,ABC,"Albacete, Spain",
"Aalborg, Denmark",AAL,AAL,"Aalborg, Denmark",
"Aalesund, Norway",AES,AES,"Aalesund, Norway",
"Aarhus, Denmark - Bus service",ZID,ZID,"Aarhus, Denmark - Bus service",
"Aarhus, Denmark - Tirstrup",AAR,AAR,"Aarhus, Denmark - Tirstrup",
"Aasiaat, Greenland",JEG,JEG,"Aasiaat, Greenland",
"Abadan, Iran",ABD,ABD,"Abadan, Iran",
"Abakan, Russia",ABA,ABA,"Abakan, Russia",
"Abbotsford, BC",YXX,YXX,"Abbotsford, BC",
"Aberdeen, SD",ABR,ABR,"Aberdeen, SD",
"Aberdeen, United Kingdom",ABZ,ABZ,"Aberdeen, United Kingdom",
"Abha, Saudi Arabia",AHB,AHB,"Abha, Saudi Arabia",
"Abidjan, Cote d'Ivoire",ABJ,ABJ,"Abidjan, Cote d'Ivoire",
"Abilene, TX",ABI,ABI,"Abilene, TX",
"Abu Dhabi, United Arab Emirates",AUH,AUH,"Abu Dhabi, United Arab Emirates",
"Abu Simbel, Egypt",ABS,ABS,"Abu Simbel, Egypt",
"Abuja, Nigeria",ABV,ABV,"Abuja, Nigeria",
"Acapulco, Mexico",ACA,ACA,"Acapulco, Mexico",
"Acarigua, Venezuela",AGV,AGV,"Acarigua, Venezuela",
"Accra, Ghana",ACC,ACC,"Accra, Ghana",
"Adak Island, AK",ADK,ADK,"Adak Island, AK",
"Adana, Turkey",ADA,ADA,"Adana, Turkey",
"Addis Ababa, Ethopia",ADD,ADD,"Addis Ababa, Ethopia",
"Adelaide, Australia",ADL,ADL,"Adelaide, Australia",
"Aden, Yemen",ADE,ADE,"Aden, Yemen",
"Adler/Sochi, Russia",AER,AER,"Adler/Sochi, Russia",
"Adrar, Algeria",AZR,AZR,"Adrar, Algeria",
"Afutara, Soloman Islands",AFT,AFT,"Afutara, Soloman Islands",
"Agadir, Morocco",AGA,AGA,"Agadir, Morocco",
"Agartala, India",IXA,IXA,"Agartala, India",
"Agaun, Papua New Guinea",AUP,AUP,"Agaun, Papua New Guinea",
"Agen, France",AGF,AGF,"Agen, France",
"Agra, India",AGR,AGR,"Agra, India",
"Agri, Turkey",AJI,AJI,"Agri, Turkey",
"Aguadilla, Puerto Rico",BQN,BQN,"Aguadilla, Puerto Rico",
"Aguascalientes, Mexico",AGU,AGU,"Aguascalientes, Mexico",
